Arr Date,Dep Date,Ship,Berth,Port,Agent,To
Fri 01 Mar 2024 00:08,,NORMAN RIVER,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Fri 01 Mar 2024 00:08,,CHRYSUS,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Fri 01 Mar 2024 04:00,Sun 17 Mar 2024 18:30,PESCADORES SW,Abbot Point Anchorage 01,Abbot Point,Monson Agencies Australia (Townsville & Abbot Point),Abbot Point To Be Confirmed
Fri 01 Mar 2024 05:53,Mon 08 Apr 2024 12:34,YASA EMERALD,East Anchorage 9,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Fri 01 Mar 2024 15:36,Fri 15 Mar 2024 12:34,AZUL HARMONY,North Anchorage 5,Gladstone,Gulf Agency Company (Gladstone),Clinton Coal
Fri 01 Mar 2024 17:30,Thu 14 Mar 2024 12:34,MITOSE,East Anchorage 2,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Fri 03 Feb 2023 10:00,,ARJUNA II,Coomera Marine Precint,Southport,Owner / Agent / Master (Brisbane),
Fri 03 Feb 2023 10:00,,TJALFE4,Coomera Marine Precint,Southport,Owner / Agent / Master (Brisbane),
Fri 05 Aug 2022 12:01,,ALAN TICEHURST,Berth 5/6 (POTL Vessels),Townsville,Port of Townsville Limited,
Fri 05 Aug 2022 12:01,,ERIC NETTERFIELD,Berth 5/6 (POTL Vessels),Townsville,Port of Townsville Limited,
Fri 05 Jan 2024 02:58,,TSA 3002,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Fri 05 May 2023 09:26,,WAJARRI,Cairns 06 Wharf,Cairns,Svitzer Australia Pty Ltd (Cairns Region),
Fri 08 Jul 2022 15:30,,SIRIUS COVE,Hemmant Barge Landing,Brisbane,Foreshore Marine (WA) Pty Ltd,
Fri 08 Jul 2022 15:30,,ST. VINCENT,Hemmant Barge Landing,Brisbane,Foreshore Marine (Qld) Pty Ltd ,
Fri 08 Mar 2024 00:26,Fri 15 Mar 2024 07:00,AFRICAN DRAGON,North Anchorage 7,Gladstone,Monson Agencies Australia (Gladstone),South Trees East
Fri 08 Mar 2024 02:12,Fri 15 Mar 2024 00:00,MAGIC VENUS,Off Shore Anchorage 01,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 1
Fri 08 Mar 2024 03:28,Sat 23 Mar 2024 00:00,UNTA,North Anchorage 11,Hay Point,Gulf Agency Company (Mackay),DBCT Berth 3
Fri 08 Mar 2024 05:46,Tue 12 Mar 2024 00:45,CAMILA B,East Anchorage 12,Gladstone,Inchcape Shipping Services (Queensland),Fishermans Landing 5
Fri 08 Mar 2024 08:04,,QUANDAMOOKA,Construction,Gladstone,Curtis Island Service Pty Ltd ,
Fri 08 Mar 2024 16:00,Tue 19 Mar 2024 12:34,HAFNIA PETREL,East Anchorage 11,Gladstone,Wave Shipping Pty Ltd,South Trees East
Fri 08 Mar 2024 16:42,Fri 15 Mar 2024 11:15,CHAMPION STAR,East Anchorage 10,Gladstone,Monson Agencies Australia (Gladstone),Fishermans Landing 2
Fri 08 Mar 2024 16:50,Sat 16 Mar 2024 12:34,LEONIDAS P.C.,North Anchorage 11,Gladstone,Ben Line Agencies,Clinton Coal
Fri 08 Mar 2024 17:42,Thu 04 Apr 2024 00:00,TAI KNIGHTHOOD,North Anchorage 02,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 1
Fri 08 Mar 2024 19:42,Fri 15 Mar 2024 00:00,FPMC B 107,South Anchorage 14,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 2
Fri 08 Mar 2024 20:00,Mon 18 Mar 2024 00:00,FPMC B 102,North Anchorage 12,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 2
Fri 09 Dec 2022 06:20,,WHITSUNDAY EXPLORER,Rivergate Yacht Marina,Brisbane,Owner / Agent / Master (Brisbane),
Fri 09 Feb 2024 07:00,Fri 29 Mar 2024 00:00,SDTR CELESTE,North Anchorage 20,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 1
Fri 09 Feb 2024 10:08,,MOONGALBA,Toondah Harbour,Brisbane,Stradbroke Ferries Limited,
Fri 09 Feb 2024 10:47,,PETER CROOKE,Pilot Boarding Ground Inner,Weipa,Wilhelmsen Port Services (Weipa),
Fri 09 Feb 2024 10:47,,SL THUNGGUN,Pilot Boarding Ground Inner,Weipa,Wilhelmsen Port Services (Weipa),
Fri 09 Feb 2024 12:18,Fri 29 Mar 2024 00:00,FJ IRIS,South Anchorage 13,Hay Point,Ben Line Agencies,HPS Berth 2
Fri 09 Feb 2024 12:36,Tue 12 Mar 2024 22:01,SKIATHOS,Off Shore Anchorage 24,Hay Point,Inchcape Shipping Services (Queensland),DBCT Berth 1
Fri 09 Jul 2021 05:00,,PONTOON,Shute Harbour,Whitsunday,Owner / Agent / Master (Mackay),
