STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
1,North-Eastern Victoria,Metropolitan,Government,Monash,M,VCE non-VET,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
2,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
3,South-Eastern Victoria,Metropolitan,Catholic,Port Phillip,M,VCE non-VET,High,Highest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
4,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCE VET,Lowest,Lowest,Vietnam,No,Apprenticeship/traineeship,Apprenticeship/traineeship
5,South-Western Victoria,Metropolitan,Government,Brimbank,F,VCE non-VET,Low - Medium,Lower-middle,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
6,North-Western Victoria,Metropolitan,Government,Darebin,F,VCE non-VET,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
7,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCAL Only,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
8,North-Eastern Victoria,Non-Metropolitan,Catholic,Greater Shepparton,M,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
9,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
10,North-Western Victoria,Metropolitan,Catholic,Whittlesea,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
11,North-Western Victoria,Non-Metropolitan,Government,Swan Hill,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
12,South-Western Victoria,Non-Metropolitan,Government,Warrnambool,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
13,South-Eastern Victoria,Non-Metropolitan,Independent,Wellington,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
14,South-Eastern Victoria,Non-Metropolitan,Independent,Wellington,M,VCE VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
15,South-Eastern Victoria,Non-Metropolitan,Government,Bass Coast,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
16,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
17,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
18,North-Eastern Victoria,Metropolitan,Government,Manningham,F,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
19,South-Eastern Victoria,Metropolitan,Government,Casey,F,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
20,South-Eastern Victoria,Metropolitan,Government,Casey,F,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
21,North-Western Victoria,Non-Metropolitan,Catholic,Greater Bendigo,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
22,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
23,North-Western Victoria,Metropolitan,Government,Whittlesea,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
24,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,F,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
25,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
26,North-Eastern Victoria,Non-Metropolitan,Government,Towong,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
27,North-Eastern Victoria,Non-Metropolitan,Government,Towong,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
28,North-Eastern Victoria,Non-Metropolitan,Government,Towong,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
29,South-Western Victoria,Non-Metropolitan,Government,Ballarat,M,VCE non-VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
30,North-Western Victoria,Metropolitan,Government,Nillumbik,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
31,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
32,North-Eastern Victoria,Metropolitan,Government,Knox,F,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
33,South-Western Victoria,Metropolitan,Adult,Melbourne,F,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
34,South-Western Victoria,Metropolitan,Government,Melton,M,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
35,South-Eastern Victoria,Metropolitan,Government,Frankston,F,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
36,South-Western Victoria,Metropolitan,Government,Moonee Valley,F,VCE non-VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
37,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
38,North-Eastern Victoria,Non-Metropolitan,Catholic,Benalla,M,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
39,South-Eastern Victoria,Metropolitan,Catholic,Casey,F,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
40,North-Western Victoria,Metropolitan,Government,Moreland,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
41,North-Eastern Victoria,Metropolitan,Government,Yarra Ranges,M,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
42,North-Eastern Victoria,Non-Metropolitan,Government,Benalla,F,VCE non-VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
43,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,M,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
44,North-Western Victoria,Metropolitan,Government,Nillumbik,M,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
45,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
46,South-Western Victoria,Non-Metropolitan,Government,Ballarat,F,VCAL Only,Medium,Upper-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
47,South-Western Victoria,Metropolitan,Independent,Melbourne,M,VCE non-VET,Low - Medium,Lower-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
48,South-Eastern Victoria,Metropolitan,Independent,Frankston,F,VCE non-VET,Low - Medium,Lower-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
49,North-Eastern Victoria,Metropolitan,Catholic,Maroondah,M,VCE non-VET,High,Highest,United States of America,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
50,South-Western Victoria,Metropolitan,Adult,Melbourne,M,VCE VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
51,North-Eastern Victoria,Metropolitan,Government,Maroondah,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
52,North-Eastern Victoria,Non-Metropolitan,Government,Wodonga,M,VCE VET,Lowest,Lowest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
53,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
54,North-Eastern Victoria,Metropolitan,Catholic,Whitehorse,M,VCE non-VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
55,North-Eastern Victoria,Metropolitan,Government,Knox,M,VCE non-VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
56,South-Eastern Victoria,Metropolitan,Government,Frankston,M,VCE non-VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
57,South-Eastern Victoria,Metropolitan,Government,Kingston,F,VCE non-VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
58,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
59,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
