Species,Body,Brain,Order,Era
Mountain beaver,1.35,8.1,Non-primate,Modern
Cow,465,423,Non-primate,Modern
Grey wolf,36.33,119.5,Non-primate,Modern
Goat,27.66,115,Non-primate,Modern
Guinea pig,1.04,5.5,Non-primate,Modern
Diplodocus,11700,50,Dinosaur,Pre-historic
Asian elephant,2547,4603,Non-primate,Modern
Donkey,187.1,419,Non-primate,Modern
Horse,521,655,Non-primate,Modern
Potar monkey,10,115,Primate,Modern
Cat,3.3,25.6,Non-primate,Modern
Giraffe,529,680,Non-primate,Modern
Gorilla,207,406,Primate,Modern
Human,62,1320,Primate,Modern
African elephant,6654,5712,Non-primate,Modern
Triceratops,9400,70,Dinosaur,Pre-historic
Rhesus monkey,6.8,179,Primate,Modern
Kangaroo,35,56,Non-primate,Modern
Golden hamster,0.12,1,Non-primate,Modern
Mouse,0.023,0.4,Non-primate,Modern
Rabbit,2.5,12.1,Non-primate,Modern
Sheep,55.5,175,Non-primate,Modern
Jaguar,100,157,Non-primate,Modern
Chimpanzee,52.16,440,Primate,Modern
Brachiosaurus,87000,154.5,Dinosaur,Pre-historic
Mole,0.122,3,Non-primate,Modern
Pig,192,180,Non-primate,Modern
