"Obs","Species","Weight","Length1","Length2","Length3","Height","Width","Sex"
1,"Bream",242,23.2,25.4,30,38.4,13.4,"Unspecified"
2,"Bream",290,24,26.3,31.2,40,13.8,"Unspecified"
3,"Bream",340,23.9,26.5,31.1,39.8,15.1,"Unspecified"
4,"Bream",363,26.3,29,33.5,38,13.3,"Unspecified"
5,"Bream",430,26.5,29,34,36.6,15.1,"Unspecified"
6,"Bream",450,26.8,29.7,34.7,39.2,14.2,"Unspecified"
7,"Bream",500,26.8,29.7,34.5,41.1,15.3,"Unspecified"
8,"Bream",390,27.6,30,35,36.2,13.4,"Unspecified"
9,"Bream",450,27.6,30,35.1,39.9,13.8,"Unspecified"
10,"Bream",500,28.5,30.7,36.2,39.3,13.7,"Unspecified"
11,"Bream",475,28.4,31,36.2,39.4,14.1,"Unspecified"
12,"Bream",500,28.7,31,36.2,39.7,13.3,"Unspecified"
13,"Bream",500,29.1,31.5,36.4,37.8,12,"Unspecified"
14,"Bream",NA,29.5,32,37.3,37.3,13.6,"Male"
15,"Bream",600,29.4,32,37.2,40.2,13.9,"Male"
16,"Bream",600,29.4,32,37.2,41.5,15,"Unspecified"
17,"Bream",700,30.4,33,38.3,38.8,13.8,"Male"
18,"Bream",700,30.4,33,38.5,38.8,13.5,"Unspecified"
19,"Bream",610,30.9,33.5,38.6,40.5,13.3,"Unspecified"
20,"Bream",650,31,33.5,38.7,37.4,14.8,"Unspecified"
21,"Bream",575,31.3,34,39.5,38.3,14.1,"Male"
22,"Bream",685,31.4,34,39.2,40.8,13.7,"Unspecified"
23,"Bream",620,31.5,34.5,39.7,39.1,13.3,"Unspecified"
24,"Bream",680,31.8,35,40.6,38.1,15.1,"Unspecified"
25,"Bream",700,31.9,35,40.5,40.1,13.8,"Unspecified"
26,"Bream",725,31.8,35,40.9,40,14.8,"Male"
27,"Bream",720,32,35,40.6,40.3,15,"Unspecified"
28,"Bream",714,32.7,36,41.5,39.8,14.1,"Unspecified"
29,"Bream",850,32.8,36,41.6,40.6,14.9,"Unspecified"
30,"Bream",1000,33.5,37,42.6,44.5,15.5,"Female"
31,"Bream",920,35,38.5,44.1,40.9,14.3,"Female"
32,"Bream",955,35,38.5,44,41.1,14.3,"Unspecified"
33,"Bream",925,36.2,39.5,45.3,41.4,14.9,"Male"
34,"Bream",975,37.4,41,45.9,40.6,14.7,"Female"
35,"Bream",950,38,41,46.5,37.9,13.7,"Unspecified"
36,"Whitewish",270,23.6,26,28.7,29.2,14.8,"Unspecified"
37,"Whitewish",270,24.1,26.5,29.3,27.8,14.5,"Unspecified"
38,"Whitewish",306,25.6,28,30.8,28.5,15.2,"Unspecified"
39,"Whitewish",540,28.5,31,34,31.6,19.3,"Unspecified"
40,"Whitewish",800,33.7,36.4,39.6,29.7,16.6,"Female"
41,"Whitewish",1000,37.3,40,43.5,28.4,15,"Unspecified"
42,"Roach",40,12.9,14.1,16.2,25.6,14,"Unspecified"
43,"Roach",69,16.5,18.2,20.3,26.1,13.9,"Unspecified"
44,"Roach",78,17.5,18.8,21.2,26.3,13.7,"Unspecified"
45,"Roach",87,18.2,19.8,22.2,25.3,14.3,"Unspecified"
46,"Roach",120,18.6,20,22.2,28,16.1,"Unspecified"
47,"Roach",0,19,20.5,22.8,28.4,14.7,"Unspecified"
48,"Roach",110,19.1,20.8,23.1,26.7,14.7,"Female"
49,"Roach",120,19.4,21,23.7,25.8,13.9,"Female"
50,"Roach",150,20.4,22,24.7,23.5,15.2,"Female"
51,"Roach",145,20.5,22,24.3,27.3,14.6,"Female"
52,"Roach",160,20.5,22.5,25.3,27.8,15.1,"Female"
53,"Roach",140,21,22.5,25,26.2,13.3,"Unspecified"
54,"Roach",160,21.1,22.5,25,25.6,15.2,"Female"
55,"Roach",169,22,24,27.2,27.7,14.1,"Unspecified"
56,"Roach",161,22,23.4,26.7,25.9,13.6,"Unspecified"
57,"Roach",200,22.1,23.5,26.8,27.6,15.4,"Female"
58,"Roach",180,23.6,25.2,27.9,25.4,14,"Unspecified"
59,"Roach",290,24,26,29.2,30.4,15.4,"Unspecified"
60,"Roach",272,25,27,30.6,28,15.6,"Female"
